views,likes,dislikes,comments,target,ids
20010536,116022,7660,10267,1,PuJQhtg1VCM
31819920,307208,12040,10807,1,W9iUh23Xrsg
12121027,72412,3779,0,1,YSBO7Zl8mU4
6241379,32329,1308,0,1,ujHcGRIXEzU
36088755,247118,18114,9042,1,_pLO4jFDeIc
303412738,3485647,110168,210913,1,XXYlFuWEuKI
17194163,464112,24146,0,1,UwV5Nv2ZDfU
154647429,6173635,170593,334974,1,RUQl6YcMalg
130367586,2298391,66508,76231,1,mxFstYSbBmc
944940,8764,263,985,0,0ymcPin-4h0
7434146,137708,917,3517,1,szeXkBYq5HU
394012,2445,160,349,0,8SZX4wmV1jU
49273664,707122,21409,21399,1,dwV04XuiWq4
6967661,64222,2849,2458,1,UL2BY0NR0Eo
1954556,4657,654,0,1,e_9Bz7PeSdM
8299596,84627,2146,1456,1,9Ffm_X-ppFo
4343112,12608,1527,258,1,yaGkToO1eHo
59814639,703213,34554,10596,1,dW8J7_l8INY
14683118,117635,5042,3408,1,v3m_DlYSJOA
38874,1559,33,377,0,Ue3AJP_GiAM
1107783,63715,1062,5717,1,BoFxslm6DKY
1706165,17909,737,604,1,1LTV2bQoxC8
62296,8572,278,568,0,dnz2yHFbbD8
1210,118,3,0,0,e8SFAcr9kMo
3074890,154211,2756,19233,1,Fh1a2K9ZgNA
275167,4960,90,231,0,TscChog5L70
30052966,450539,11389,21934,1,LaQj636PJh0
98799,8030,127,3294,0,XO__C_Ea7-Y
355784,22571,431,5567,0,Rw347W3Wep4
11447284,589415,5291,23763,1,wnWbb3_U9Gc
23003380,48066,15372,0,1,I2E7oDAz7jI
1435160,16888,942,842,1,cP34RLmwbXI
440904,3483,967,462,0,2hvEoO_2XYk
120338791,250502,78526,2,1,1_2HurMbwLA
146510,4291,113,0,0,8k6gJaX-H18
6889209,153811,9155,5962,1,KI-_IghlER8
225786,2484,87,211,0,OSzkcVvRp64
91480,2439,58,241,0,TpGGegHx-a8
25059,202,44,92,0,3gHi-m_BRk8
374737,2321,116,534,0,7uy-_iIzG8g
244621,2214,475,1680,0,k7X1_ded0aY
46308,563,52,358,0,SZM1smkZzbg
9468,1009,43,0,0,IFJOoXYqpEQ
466264,2535,448,760,0,WYHylD4dgfc
506253,3369,3951,5652,0,u7tpFw_ETQo
84197,1454,134,78,0,FiAyN2ExLww
488809,2658,317,3,0,E-qJMJbkbWI
60088,1013,234,316,0,Bx99vU4XRpc
10711,367,18,10,0,0u51Yl5heks
661664,6533,513,1830,0,LLFXii1N-lo
2156,0,0,0,0,X3Lgl2oV1Mc
3575244,149727,2518,678,1,wx1WbyBs_Hg
48854,765,36,9,0,2OqCySBzrKI
4500,449,4,0,0,6XT4eLNfBYA
0,390,1,1,0,Lrtzh35EVnI
59546,1079,111,24,0,hoOR_yyL36I
165828,0,0,0,0,mdy9sPdrQRE
52354,0,0,4,0,8-e-TwMngK0
44488,0,0,0,0,2ky0jl8bkI8
903560,15019,469,2677,0,7jyvO9Hrq7o
56434,2264,53,125,0,SrvQBD6kfRU
39847,2096,44,159,0,33hC3UZ-u_8
33320,1553,16,37,0,lT7cZjvt7SQ
53223169,350151,48919,13769,1,ZgIGvTjc8xw
47240,2643,18,64,0,WplwEsTqAcU
6180505,33135,3420,1822,1,8v7nB5sRe6Q
2912611,159449,6332,6147,1,PoUnOueAaaI
12402856,271603,13974,2442,1,TTyfsxAeHsE
26887416,708927,39844,6723,1,5T_4zO9FlHQ
17468,205,11,17,0,Yqew3X2Ix-k
6294554,0,0,0,1,Rr0uFzAOQus
3585281,16182,2291,172,1,OTuph9pJWU4
3913919,20237,5432,0,1,38XyBuC6KuM
4809004,36372,1700,1265,1,qLBffuGoHO4
792960,23638,863,603,0,xLkC-ODKQSc
16795871,27374,10076,242,1,4HUCJliVbsw
1661055,34454,511,800,1,O96fE1E-rf8
27318754,236106,21886,21678,1,9S3FRENg43I
9495226,40348,4431,593,1,HaEmIakO7f4
54394922,130684,66594,486,1,cmDSPaQUyeg
475155,215875,1264,35238,0,nPX873biojo
28438,1704,411,141,0,AUecYeEe_Eg
225651,21981,650,1891,0,fuSAWqUX6EQ
46439,2272,66,146,0,zN8AvjuNN5k
68814,9756,76,699,0,H-Rl2EPoxrk
55236,2610,12,180,0,zoMOr23pBdY
75752,8186,49,816,0,P9qmIC1KJFw
260940,16379,259,599,0,yOJLYRlOhlc
171784,8448,209,1443,0,SG_fNNTOU6I
2028622,58348,1330,8473,1,aC_xUrWkysE
1424983,10729,693,0,1,ujTjA4uC-CE
745466,3947,394,0,0,XBkIW1dON1Q
493211,3670,473,0,0,rznC52oPBuY
1182713,7742,864,0,1,Vs9YUUhBQGg
24784249,121489,34874,1705,1,3qOcgC24bZQ
1979779,11384,917,0,1,aau6xZgIu1A
89005,1308,92,0,0,sjU9tEobw78
18867817,57152,9204,0,1,UW6H5dAPuhY
109077,880,61,0,0,hruTrd7H0YE
60671,830,37,0,0,P5jo8RSb8wE
